mineid,minename,date,time,narrative,stateabb,company_name
4201202,CASTLE GATE PORTAL NO. 5,11/18/1986,859,BOUNCE ON TAIL1ATE A PIECE OF COAL FELL OFF OF THE UPPER PART OF THE RIB AND HIT EMP ON T HE LEFT KNEE BRUISING KNEE AND INJURING LIGAMENTS IN LEFT KNEE,UT,CASTLE GATE COAL COMPANY
4405447,NO 4 MINE,12/10/1986,930,ROCK BURST OUT 0ROM BOLT TO RIB. BOLT PATTERN OK FELL AND SCRABED LEFT SIDE OF PERSON AND BRUISE LEFT LEG.,VA,COMANCHE COAL CORPORATION
4401520,VIRGINIA POCAHONTAS NO 3,3/4/1987,715,TWO CHAIN PILLA9 BLOCKS ON 6TH DEV. DOUTH TAIL CXX ENTRY OF 7TH DEV. SOUTH LONGWALL ADJUACENT TO THE LONGWALL FACE UNDERWENT AN OUTBURST OF COAL CAUSING A BRIEF INTERUPTION OF VENTILATION AND WITHDRAW OF MEN3FROM THE AREA.,VA,ISLAND CREEK COAL COMPANY
4200089,SOUTHERN UTAH FUEL,3/10/1987,1333,EMPL RUNNING FA7E SPRAGS AND WAS ENTERING BACK WALKWAYS WHEN RIB BURST OCCURRED STRIKING HIM IN CHEST AREA.RESULTING INJURY WAS A BRUISED CHEST AND PULLED BACK MUSCLES FROM FALLING FROM IMPA CT OF COAL. 3,UT,SOUTHERN UTAH FUEL COMPANY
4201202,CASTLE GATE PORTAL NO. 5,3/16/1987,1705,INJ STANDING BY3TAILGATE DRIVE MOTOR UNDER SHIELD TURNED TO WALK BETWEEN LEGS WHEN A BOUNCE OF COAL BLEW OUT OF FACE AND STRUCK LOWER BACK ALMOST KNOCKING HIM DOWN.INJ GIVEN RX FOR PAIN AND MU SCLE RELAXER TH5T WOULDNT INTERFERE WITH WORK ACTIVITY.,UT,CASTLE GATE COAL COMPANY
4201202,CASTLE GATE PORTAL NO. 5,3/18/1987,1450,OPERATING SHEAR9R AT TAILGATE BOUNCE OCCURRED AND COAL FLEW FROM FACE BETWEEN SHIELDS STRIKING OPERATOR ON LEFT ARM AND RIGHT HAND CAUSING LACERATION REQ 2 STITCHES ON RIGHT HAND AND BRUISE T O LEFT ARM. 3,UT,CASTLE GATE COAL COMPANY
4200093,SUNNYSIDE MINE NO. 1,3/25/1987,140,EMPLOYEE WAS PU5LING SHIELDS WHEN A BOUNCE OCCURRED AND COAL STRUCK HIM ON THE LEG CAUSING A CONTUSION.,UT,KAISER COAL CORPORATION OF SUN
4200121,DEER CREEK,3/30/1987,1900,INJURED WAS OPE9ATING THE HEADGATE WHEEL OF THE 7TH RIGHT SHEARER WHEN THE FACE BURST. HE WAS STRUCK BY A PIECE OF COAL IN THE RIGHT TEMPLE. HE SUFFERED A LACERATION REQUIRING 4 STITCHES.,UT,UTAH POWER & LIGHT CO. MINING
4201202,CASTLE GATE PORTAL NO. 5,5/15/1987,605,"RUNNING SHEARER3THROUGH TAILGATE BOUNCE OCCURRED THROWING COAL, COAL STRUCK EMPLOYEE ON BACK FRACTURING RIB. HE SAW DR 5-15 FOLLOWED UP 5-18 FOR TEST & TO SEE DR THEN RELEASED. 2 = EMP WAS REPLACI3G TRACTION UNIT ON SHEARER WHEN FACE BOUNCED THROWING COAL. A LUMP OF COAL STRUCK HIM ON CHEST CAUSING BRUISE",UT,CASTLE GATE COAL COMPANY
4200121,DEER CREEK,5/22/1987,2253,"THE INJURED WAS3CLEARING COAL FROM OFF THE TOP OF THE SHEAR.THE FACE BURSTED.HE WAS STRUCK IN THE FACE WITH SEVERAL PIECES OF COAL.HE SUFFERED CUTS,BRUISES AND MULTIPLE FRACTURES OF THE UPPER JAW,PALLET AND3NOSE.",UT,UTAH POWER & LIGHT CO. MINING
4201211,TRAIL MOUNTAIN #9,10/21/1987,1830,SETTING TURN RO4 TIMBERS WHEN PILLAR BOUNCE OCCURRED WHICH CAUSED 3'OF TOP COAL TO BREAK LOOSE AND FALL COVERING EMPL.SIZE OF FALL WAS 20' X 15' X 3'THICK. 2 = SETTING TURN RO4 TIMBERS WHEN PILLAR BOUNCE OCCURRED WHICH CAUSED 3' OF TOP COAL TO BREAK LOOSE AND FALL COVERING EMPL.SIZE OF FALL 20' X 15' X 2'THICK.,UT,BEAVER CREEK COAL COMPANY
1505423,NO. 1 MINE,11/25/1987,930,INJURED WAS OPE9ATING A CONT. MINER WHEN A SMALL COAT OUT BURST OCCURRED. HE WAS FORCED INTO THE SIDE OF THE MINER. 2 = INJURED WAS WAT7HING THE CONT. MINER CLEAN UP A CUT WHEN A COAL OUT BURST OCCURRED AND A PIECE OF COAL HIT HIM IN THE SHOULDER.,KY,"MANALAPAN MINING CO., INC."
4401520,VIRGINIA POCAHONTAS NO 3,1/12/1988,530,ON 5TH SOUTH 8T2 DEV LONGWALL SHEARER THE TAILSDIDE OF THE LONGWALL BLOCK EXPERIENCED AN OUTBURST WHICH MOMENTARILY CEASED PRODUCTION,VA,ISLAND CREEK COAL COMPANY
500301,DUTCH CREEK MINE,2/9/1988,230,WHILE ROCK DUSTING THE RIB BOUNCED & SLIPPED STRIKING EMPLOYEE ON THE RT.FOOT WITH A SMALL CHUNK OF COAL,CO,"MIDCONTINENT RESOURCES, INC."
4200098,KING 4 MINE,2/22/1988,1305,INJ STANDING NEXT TO RIB WHEN HARD BOUNCE OCCURRED KNOCKING COAL OFF RIB WHICH STRUCK HIM ON OUTSIDE OF LEFT LEG/KNEE.,UT,UNITED STATES FUEL CO.
500301,DUTCH CREEK MINE,3/22/1988,10,WHILE MININGY AN OUTBURST OCCURRED LIBERATING ATHANE TO THE EXTENT WHAT MISSING HADTO BE DISCONNTUED FOR SEVERAL HOURS THE FACE PUSHED APPROX 15 FT OUT COVERING UP THE CONTINUES MINER FROM THE FROM THE HEAD BACK TO APPROX 2' FROM THE OPERTATION COMPLETE MINES IS HEAD OPERATING REMOTE CONTROL.,CO,"MIDCONTINENT RESOURCES, INC."
4404856,BUCHANAN NO 1,4/14/1988,1930,A COAL OUTBURST OCCURRED ON THE 3NORTH LONGWALL SECTION THERE WERE NO INJURIES,VA,CONSOLIDATION COAL COMPANY
4200098,KING 4 MINE,6/23/1988,1755,SECTION FOREMAN GIVING INSTRUCTIONS TO INJ AND OTHER OPER WHEN HEAVY BOUNCE OCCURRED CAUSING INJ TO FALL TO GROUND TWISTING LEFT ANKLE.,UT,UNITED STATES FUEL CO.
4200165,CASTLE GATE MINE,7/14/1988,500,EMPLOYEE WAS SITTING BEHIND THE LEG OF THE JACK THE FACE BOUNCED AND COAL HIT HIS KNEE CAP FROM THE SIDE,UT,CASTLE GATE COAL COMPANY
4200077,SOLDIER CANYON,7/18/1988,1730,DURING PILLAR MINING A BOUNCE OCCURRED AND RIB COAL STRUCK HIM ON THE SIDE OF THE HEAD,UT,SOLDIER CREEK COAL COMPANY
4200165,CASTLE GATE MINE,9/26/1988,830,BOUNCE OCCURRED APPROX.40FT.OUTBY FACE IN 9THEAST TAILGATE ENTRY & OBSTRUCT ED TRAVELWAY WITH COAL FROM RIB FOR A DISTANCE OF APPROX.70FT .NO ROUT E OF EGRESS WAS AVAILABLE THROUGH THE TAIL-G ATE ENTRY,UT,CASTLE GATE COAL COMPANY
4200165,CASTLE GATE MINE,10/7/1988,1115,AN OUTBURST OCCURED APPROX. 28 FT OUTBY THE FACE IN THE 9TH EAST SECTION TAILGATE ENTRY AND PUSHED OVER PREVIOUSLY SET TIMBERS OBSTRUCTING THE TRAVELWAY FOR A DISTANCE TO APPROX. 24 FT MINING OPERATION WERE STOPPED IMMEDIATELY MSHA NOTIFIED AND MINING PLAN PROCEDURES WERE IMPLEMENTED.,UT,CASTLE GATE COAL COMPANY
4200165,CASTLE GATE MINE,10/13/1988,2115,FACE BOUNCED AND ROCK CAME OUT AND HIT LEFT HAND ON HOSES OF SHIELDS HELPING TO MOVE THROUGH THEM.,UT,CASTLE GATE COAL COMPANY
4200165,CASTLE GATE MINE,10/24/1988,1130,OVER BURDEN PRESSURES CREATED AN OUT BURST FROM 112 SHIELD TO 124 SHIELD MAIN OUTBURST WAS AT 114 SHIELD DAMAGE -PUMP MOTOR BOLTS SHEARED OFF ON FILTER HOUSING SHEARED OFF BOLTS ON T G COWEL B ROKE 2 BITS OFF OF T G DRUM 5 -D A RAMS DAMAGED NO INJURIES OCCURRED,UT,CASTLE GATE COAL COMPANY
4201944,COTTONWOOD,10/27/1988,1430,I.NAME WAS PULLING SHIELDS NEAR #10 ALONG LONGWALL FACE THE FACE BUMPED A COAL CHUNK PASSED OVER THE SHEARER AND STRUCK EMPLOYEE IN THE CHEST HE THEN FELL DOWN ON THE SHIELD TOES INJURING HI S BACK AND RIBS,UT,UTAH POWER & LIGHT CO. MINING
4200165,CASTLE GATE MINE,11/7/1988,1815,"DE STRESS DRILLING WA> TAKING PLACE AT 119 SHIELD AND OUTBURST OCC THAT WAS 31 1/2 FT. IN LENGTH A(D APPROX 3' IN DEPTH. NO REPORTABLE INJ OCC AND NO DAMAGE TO EQUIPEMENT OCC. THIS ACC. OC C ON 9TH E L. W. FACE.  An outburst (bounce) in tailgate area, between shields nos. 115 and 121, of the 9th east longwall section. While drilling destress hole at shield 118. , ",UT,CASTLE GATE COAL COMPANY
4200165,CASTLE GATE MINE,12/2/1988,1445,AN OUTBURST OCCURRED IN THE 9TH ELW TG ENTRY DUE TO OVER BURDEN PRESSURES THAT CAUSED PILLAR AND RIB FAILURE THE T G/ ENTRY WAS NOT PASSABLE FOR APPROX 50 FT SOME ROOF FAILURE WAS NOTED OUTBY THIS AREA AND IN OUTBURST AREA PILLAR FAILURE NO INJURIESOR EQUIP DAMAGE WAS INCURRED,UT,CASTLE GATE COAL COMPANY
4200165,CASTLE GATE MINE,12/5/1988,1925,EMPLOYEE STATED SHE WAS PULLING SHIELDS OP TO TAILGATE. THERE WAS A BOUNCE AT SHIELDS #30-#40. A ROCK OR CHUNK OF COAL HIT HER ON THE RIGHT SIDE OF HER FACE.,UT,CASTLE GATE COAL COMPANY
4200165,CASTLE GATE MINE,12/6/1988,1350,EMPLOYEE STATED WHILE HE WAS TRAVELING IN FRONT ON THE SHIELD LEGS INTO THE SHIELD THE 1/W FACE BOUNCED BLOWING A PIECE OF COAL LOOSE STRIKING HIM I N THE BACK HEAD NECK & SHOULDER AREA BECAME REPORTABLE AS OF 011089 WHEN HE WENT TO A PHYUSICIAN,UT,CASTLE GATE COAL COMPANY
4201599,KING 6 MINE,12/15/1988,1045,INJURED MAN WAS CARRYING A SCREEN ROOF MATT UP TO THE FACE WHEN A COAL RIB BURST OCCURRED STRIKING THE MAN WITH A COMBINATION OF CEMENT CRIBB BLOCKS ROCK AND COAL AND PINNING THE MAN AGAINST T  2=INJURED MAN WAS SETTING CEMENT CRIB BLOCKS WHEN A COAL RIB BURST OCCURRED STRIKING THE MAN WITH A COMBINATION OF CEMENT CRIB BLOCKS ROCK AND COAL COVERING THE MAN UP TO HIS WAIST.LOCATION 2ND WEST CROSSCUT 2RTO 3R 30' OUTBY FACE.,UT,UNITED STATES FUEL COMPANY
4200089,SOUTHERN UTAH FUEL,1/4/1989,1340,EMPLOYEE WAS WASHING SHIELDS WHEN THE FACE BURST. A LUMP OF COAL HIT HIM ON THE BACK OF THE HAND CAUSING A SMALL CUT AND 2 PIECES OF CARTILAGE TO COME OUT. EMPLOYEE WENT TO DOCTOR ON 2-2-89; R ETURNED ON 2-06-89 (2 DAYS LOST TIME),UT,SOUTHERN UTAH FUEL COMPANY
4200165,CASTLE GATE MINE,1/17/1989,1910,SHIELDS WERE BEING PULLED IN WHEN THE FACE BOUNCED THROWING COAL INTO SHIELDS THE COAL STRUCK I.NAME IN T HE BACK THROWING HIM INTO THE SHIELD,UT,CASTLE GATE COAL COMPANY
1504670,MINE NO 37,1/24/1989,600,INJURED WASIN PROCESS OF CHECKING OIL LEVEL IN HEADGATE RANGING ARM. LOOSE COAL BUMPED FROM FACE-INJURED TURNED TO RUN AND STRUCK SPRAY BAR ON SHEARER-INJURED TURN TO CHECK COAL FACE THAT HAD BUMPED & WAS STRUCK IN SIDE OF FACE BY A LOOSE BLOCK OF COAL.,KY,"ARCH OF KENTUCKY, INC"
1502096,STONE NO. 4 MINE,2/10/1989,1000,FALL OCCURRED 18 SECTION DURING RETREAT MINING.CREW IN PROCESS OF PULLING FINAL WINGS OF PILLAR WHEN TOP BUMPED AND THEN THE ROOF FELL BEFORE THE MACHINE COULD BE MOVED AWAY COVERING HEAD AREA OF MACHINE.,KY,EASTERN COAL CORPORATION
4201944,COTTONWOOD,2/15/1989,550,COAL OUTBURST OCCURRED ON 11TH WEST LONGWALL FACE FILLING MUCH OF THE FACE CONVEYOR WITH COAL.THE FACE CONVEYOR WAS STALLED CAUSING NORMAL PRODUCTION TO STOP FOR MORE THAN 1 HOUR.,UT,UTAH POWER & LIGHT CO. MINING
4200089,SOUTHERN UTAH FUEL,3/7/1989,1110,"FACE BURST SENDING 8"" PIECE OF COAL AT EMPL HITTING AIR STREAM HELMET CAUSING LACERATION ABOVE R EYE",UT,SOUTHERN UTAH FUEL COMPANY
4200077,SOLDIER CANYON,3/20/1989,830,HE WAS BOLTING A PILLAR SPLIT WHEN A BOUNCE THREW COAL INTO HIS FACE STRIKING HIM ON MOUTH.,UT,SOLDIER CREEK COAL COMPANY
4200165,CASTLE GATE MINE,3/22/1989,1000,EMPLOYEE TRAVELING ABOVE THE SHEAR TO PULL JACKS AT APPROX 05 SHIELD TURNED TO GO INTO JACKS FACE BOUNCED AND COAL STRUCK BACK AND FORCED HEAD INTO A JACK.,UT,CASTLE GATE COAL COMPANY
4201474,PINNACLE,4/7/1989,1015,EMPL WAS ROOF BOLTING ON A DOUBLE BOOM ROOF BOLTER IN THE 3RD SOUTH PILLAR SECTION A BOUNCE OCCURRED AND RIB A PIECE OF COAL 4'X 3'X 1 1/2' STRUCK HIM IN THE BACK PUSHING HIM INTO THE BOLTER F RAME,UT,"ANDALEX RESOURCES, INC."
4404856,Buchanan No. 1 Mine,4/10/1989,1600,Coal outburst (bump) occurred  between the mined out 4 North longwall panel and the active 5 North longwall panel. The immediate roof in the affected area was a strong sandy shale and the floor was a dense sandy shale of undetermined thickness that resisted heaving. This area of the mine is under a mountain peak and overburden is approximately 2100 feet. No mention of which Pocahontas (assumed) seam.,VA,Consolidation Coal Company
1504670,MINE NO 37,4/12/1989,1124,A COAL OUTBURST OCCURRED NEAR THE TAILGATE END OF R-9 KPANEL MSHA WAS NOTIFIED & INVESTIGATION WAS CONDUCTED,KY,"ARCH OF KENTUCKY, INC"
1504670,MINE NO 37,5/8/1989,415,A COAL OUTBURST OCCURRED NEAR THE TAILGATE END OF R-9 PANEL MSHA WAS NOTIFIED AND INVESTIGATION WAS CONDUCTED,KY,"ARCH OF KENTUCKY, INC"
4201944,COTTONWOOD,6/1/1989,2105,"EMPLOYEE WAS MOVING SHIELD 80. A COAL OUTBURST OCCURRED AT THE FACE CAUSING HIS LEFT HAND TO BE STRUCK BY A CHUNK OF COAL.SIZE UNKNOWN CAUSING A BONE FRACTURE NOTE: FRACTURE WAS NOT DIAGNOSED UNTIL JUNE 7,1989 FIRST DAY MISSED 06-07-89.",UT,UTAH POWER & LIGHT CO. MINING
500301,DUTCH CREEK MINE,6/2/1989,1430,"A PRESSURE BUMP OCCURRED IN THE RIB AREA OUTBY THE FACE ON A 3 ENTRY DEVELOPMENT SYSTEM WHILE THE NO3 ENTRY WAS BEING DRIVEN FOR A CONNECTION WITH TWO PREVIOUSLY CONNECTED ENTRIES.THE THIRD EN TRY BEING DRIVEN LIES IN THE ABUTMENT ZONE CREATED FROM PREVIOUS MINING.THE BUMP WAS CAUSED BY THE ADDITIVE EFFECTS OF THE SITUSTRESS,THE ABUTMENT PRESSURE FROM THE PREVIOUS HEADINGS AND THE",CO,"MIDCONTINENT RESOURCES, INC."
4200093,SUNNYSIDE MINE NO. 1,8/9/1989,2220,EMPLOYEE WAS WALKING OUT OF FACE AREA AT THE END OF THE SHIFT. AS HE WAS PASSSING THE STAGELOADER A BOUNCE OCCURRED AND PUSHED HIM ONTO THE FRAME OF THE STAGELOADER CAUSING THE INJURY.,UT,SUNNYSIDE RECLAMATION AND SALV
500301,DUTCH CREEK MINE,9/12/1989,1659,THE MINING CREW WAS IN THE PROCESS OF CLEANING UP THE LEFT SIDE RIB OF NO 2 ENTRY (211 START LINE) WHEN SEVERAL LOUD BUMPS OCCURRED. THE COAL APPEARED TO PUSH FROM THE LEFT SIDE RIB AND THE F ACE. THE 12 CM MINING MACHINE WAS COVERED WITH LOOSE COALFOR APPROXIMATELY 25 FEET. CHANGED PATTERN OF STRESS DRILLING.,CO,"MIDCONTINENT RESOURCES, INC."
4200089,SOUTHERN UTAH FUEL,10/26/1989,1650,EE HAD WALKED TO THE TAILGATE TO DO THE FIRST ON SHIFT. AFTER WHICH HE NOTICED THE CABLE TRAY HAD COAL IN IT. HE STOPPED TO CLEAN THE COAL OUT AND A LUMP OF COAL BURST OFF THE FACE AND STRUCK HIS FINGERS ON HIS RIGHT HAND.,UT,SOUTHERN UTAH FUEL COMPANY
1511964,NO H-2 MINE,11/16/1989,1100,COAL OUTBURST ON THE PILLAR LINE,KY,HARLAN CUMBERLAND COAL CO. INC
1504670,MINE NO 37,11/22/1989,1045,EMPLOYEE WAS LOCATED AT #92 SHIELD. WHEN A COAL OUTBURST OCCURRED NEAR THE TAILGATE OF THE 004 LONGWALL FACE. THE INJURED WAS PUSHED BACK INTO AND BETWEEN THE SHIELDS. 2+A COAL OUTBURST OCCURRED NEAR THE TAIL GATE (#77 SHIELDD-#104 SHIELD). OF THE R-3 PANEL. MSHA OFFICIALS NOTIFIED AND INVESTIGATION CONDUCTED.,KY,"ARCH OF KENTUCKY, INC"
500301,DUTCH CREEK MINE,12/2/1989,2012,INSUFFICIENT EXPLOSIVES USED IN VOLLEY FIRING TO TRIGGER CONTROLLED OUTBURST. NO EQUIPMENT WAS DAMAGED. FACE VENTILATION WAS IMPAIRED BRIEFLY BY DAMAGED LINE CURTAIN.,CO,"MIDCONTINENT RESOURCES, INC."
4200121,DEER CREEK,1/9/1990,940,THE MINER STARTED TO CUT IN THE FACE OF BELT ENTRY WHEN THE BOUNCED OCCURRED. THERE WAS NO DAMAGE EXCEPT TO THE RIBS THE SECITON WAS SHUT DOWN TO CLEAN UP AND SET TIMBERS IN AREAS OF EXCASSIVE WIDTHS.,UT,ENERGY WEST MINING COMPANY
1507201,C-2 MINE,1/11/1990,1530,COAL OUTBURST ON PILLAR LINE.,KY,HARLAN CUMBERLAND COAL COMPANY
500301,DUTCH CREEK MINE,2/5/1990,1428,A COAL OUTBURST OCCURRED ON FACE OF 211 LONGWALL SECTION AS A CONSEQUENCE OF THIS OUTBURST LOOSE COAL WAS DISPLACED & FLOWED INTO THE FACE CONVEYOR & SOME ROOF SUPPORT SHIELDS FOR APPROXIMATEL Y 160FT,CO,"MIDCONTINENT RESOURCES, INC."
4200089,SOUTHERN UTAH FUEL,3/5/1990,2200,I NAME & TWO OTHER EMPLOYEES WERE HANGING A VENT TUBE RIB IN FRONT OF THEM BURST HITTING I NAME & I NAME A FEW SECONDS LATER A LOOSE RIB (APPROX 12INX6INX3IN) FELL OVER FROM ABOUT WAIST HIGH & HIT I NAME FOOT,UT,SOUTHERN UTAH FUEL COMPANY
4200121,DEER CREEK,4/6/1990,1550,EMPLOYEE WAS CHANGING BITS ON SHEAR TAILGATE DRUM. FACE BOUNCED AND A SLAB OF COAL FROM FACE PINNED HIS HAND AGAINST SHEAR DRUM BIT.,UT,ENERGY WEST MINING COMPANY
4200098,KING 4 MINE,6/7/1990,1135,"EMPLOYEE WAS OPERATING ROOF BOLT MACHINE INSTALLING ROOF BOLTS-THE SECTION ""BOUNCED"" CAUSING LOOSE RIB TO STUFF OFF STRIKING THE 'EMPLOYEE IN LEGS.",UT,UNITED STATES FUEL CO.
4200093,SUNNYSIDE MINE NO. 1,6/8/1990,700,A BOUNCED OCCURED IN THE TAILGATE OF THE 21 ST LEFT LONGWALL WHICH CAUSED A ROOF FALL BETWEEN X CUTS 20 AND 21 THAT PREVENTED THE TRAVEL OF MEN. IT ALSO REDUCED THE AIR FLOW OUT THE RETURN. NO ONE WAS INJURED.,UT,SUNNYSIDE COAL COMPANY
1504670,MINE NO 37,7/25/1990,1230,COAL OUTBURST OCCURRED NEAR TAILGATE #88 SHIELD-#125 SHIELD OF G-2 PANEL.,KY,"ARCH OF KENTUCKY, INC"
4200093,SUNNYSIDE MINE NO. 1,7/31/1990,330,A BOUNCE OCCURED AOBUT 50 FEET INBY X-CUT 17 IN THE TAILGATE ENTRY OF THE LONGWALL AND PROHIBITED TRAVEL.,UT,SUNNYSIDE COAL COMPANY
4200093,SUNNYSIDE MINE NO. 1,8/6/1990,9999,A COAL OUTBURST OCCURRED IN THE TAILGATE ENTRY ABOUT 70 TO 90 FEET OUTBY THE FACE BLOCKING THE TRAVELWAY.,UT,SUNNYSIDE COAL COMPANY
500301,Dutch Creek No. 1 Mine,9/24/1990,1340,An unplanned fall of face (coal outburst) accident  occurred that was 50 feet in length between the numbers 94 and 105 shields.,CO,"Mid-Continent Resources, Inc."
4200093,SUNNYSIDE MINE NO. 1,10/22/1990,1800,STANDING ON FACE AND BOUNCE OCC WHICH THREW CHUNCK OF COAL STRUCK HIM ON KNEE,UT,SUNNYSIDE COAL COMPANY
4200098,KING 4 MINE,10/23/1990,245,"THE EMPLOYEE WAS INSTALLING ROOF BOLTS. A SMALL COAL ""BOUNCED"" CUASED SOME RIB TO SLOUGH, STRIKING THE EMPLOYEE ON THE LEGS PUSHING HIM INTO THE ROOF BOLTER. THE INVESTIGATION PROVES THAT TH E INJURY RESULTED FROM THE EMPLOYEE'S LEGS HITTING AGAINSTTHE ROOF BOLTER. NOT FROM THE COAL FALLING.",UT,UNITED STATES FUEL CO.
4604789,EAGLE NEST INC.,10/25/1990,1800,BUILDING CRIBS ROOF BUMPED PC OF ROCK FELL STRUCK L FOOT,WV,EAGLE NEST INC
4200093,SUNNYSIDE MINE NO. 1,11/29/1990,830,"EMPLOYEE WAS HELPING ON THE MINER, A BOUNCE OCCURRED AND SOME ROCK FELL FROM THE RIB STRIKING HIM ON THE LEGS.",UT,SUNNYSIDE COAL COMPANY
1504670,MINE NO 37,1/11/1991,935,A COAL BUMP OCCURRED NEAR THE TAILGATE OF THE G-3 PANEL.INJURED WAS STRUCK BY FLYING ROCK AND COAL. 2+A COAL OUTBURST OCCURRED NEAR THE TAILGATE OF THE G-3 LONGWALL PANEL STOPPING PRODUCTION. THE OUTBURST OCCURRED FROM SHIELD 90 TO SHIELD 116.,KY,"ARCH OF KENTUCKY, INC"
4200098,KING 4 MINE,2/6/1991,645,"10 NORTH MINING SECTION WAS MAKING A LIFT OFF OF NO. 5 PILLAR. THE SECTION SUFFERED A ""COAL BOUNCE"" OF VERY SEVERE PROPORTIONS. THIS MINING ACTIVITY IS CREDITED WITH INSTIGATING AN EARTH QUAKE OF 3.3 ON THE RIGHTER SCALE AT UTAH STATE UNIVERSITY. ALL MINING WAS STOPPED IMMEDIATELY. THE INVESTIGATION DETERMINED THIS AREA OF K-4 UNSAFE FOR FURTHER MINING.",UT,UNITED STATES FUEL CO.
4201280,BELINA NO 2 MINE & LOADOUT FAC,2/14/1991,930,"EE WAS WORKING AT A BELT DRIVE THAT RUNS 2ND LEFT BELT. THE DRIVE IS LOCATED APPROX. 3 CROSSCUTS OUTBY THE SECTION. A FORCE OF AIR THAT WAS CREATED FROM A PRESSURE BUMP AND A MEASURE ROOF FALL , THREW EE INTO THE BELT OF MAINTAST. 2= A PRESSURE BUMP AND A MASSIVE ROOF FALL OCCURRED IN THE GOB AREA OF 2ND LEFT SECTION. SOME STOPPING WERE REMOVED DUE TO THE FACE OF AIR PRESSURE.",UT,"VALLEY CAMP OF UTAH, INC."
4200171,STAR POINT #2,4/11/1991,1430,WHILE LOOKING FOR SECTION FORMAN T HE RIB BOUNCED I NAME JUMPED OUT OF THE WAY & TWISTED HIS ANKLE,UT,CYPRUS-PLATEAU MINING CORPORAT
4201944,COTTONWOOD,5/3/1991,1340,MINING CREW WAS CUTTING THE #4 CROSSCUT OUT BETWEEN THE #1 & #2 ENTRIES OF THE 7TH LEFT SECTION WHEN WE EXPERIENCED A LARGE BOUNCE WHICH BLEW OUT PART OF THE #4 PILLAR RIB BLEW OUT BLOCKING RO ADWAY FOR MINER & SHUTTLE CARS COAL BEHIND EQUIPWAS UP TO 42INCHES DEEP FROM THE RIB OUTBURST,UT,ENERGY WEST MINING COMPANY
4200121,DEER CREEK,5/27/1991,9999,"A FALL OF ROOF OCCURED DURING LONG WEEKEND SHUTDOWN. THE ROOF FALL WS CAUSED BY A BOUNCE WHICH BROKE 4 BOLTS IN ROADWAY. THE BOLTS BROKE 18"" TO2 4"" FROM PALTE, NOT AT OR ABOVE ANCHORAGE ZONE . FALL WAS REPORTED BECAUSE IT BLOCKED PASSAGE OF MEN.",UT,ENERGY WEST MINING COMPANY
4605738,Sierra Mine,9/19/1991,1350,48 inch thick coal seam. Unplanned roof fall during retreat mining on the 6 Right (001-0) section due to over-extraction. Not mentioning a bump but roof fall. Unknown depth of cover.,WV,MEPCO Incorporated
4200077,SOLDIER CANYON,1/23/1992,1100,CLEANING UP PILLAR BOUNCED PINNING AGAINST WHEELS OF TRAILER,UT,SOLDIER CREEK COAL COMPANY
4200089,SOUTHERN UTAH FUEL,2/3/1992,1650,EMPLOYEE HAD JUST COMPLETED MARKING THE FACE WHEN A RIB BURST STRIKING HIM ON HIS RIGHT ELBOW.,UT,SOUTHERN UTAH FUEL COMPANY
4201944,COTTONWOOD,2/17/1992,2045,"LONGWALL FACE WAS BEING MINED, THE FACE EXPERIENCED A BOUNCE WHICH BLEW COAL FROM THE FACE AND STRUCK A LONGWALL PROPMAN.",UT,ENERGY WEST MINING COMPANY
4406594,#3,2/19/1992,2100,EMPLOYEE WAS WORKING CLOSE TO BELT DRIVE WHEN MINE RIB OUTBURST STRIKING EMPLOYEE ON PELVIS AND LEGS.,VA,"SOUTHMOUNTAIN COAL CO, INC."
501370,EAGLE #5,2/20/1992,1300,"EE STATED WHILE PULLING SHIELDS OVER SHEARER ON LONGWALL, HE REMOVED HIS EAR PROTECTION TO COMMUNICATE WITH CO WORKER. COAL BURST FROM THE FACE AND CUT HIS LEFT EAR. THE CUT REQUIRED SEVEN STI TCHES.",CO,CYPRUS EMPIRE CORPORATION
4403795,VP-5 MINE,4/6/1992,1545,WHILE LEAVING JACKLINE COMING AROUND HEAD DRIVE-CHAIN BLOCK BUMPED-COAL HIT HIM PUSHING HIM INTO THE HEAD FACE MOTOR CUTTING LEFT EAR-HAD BRUISED BEHIND LEFT EAR-SAID LEFT SHOULDER WAS HURTING .,VA,VP-5 MINING COMPANY
501370,EAGLE #5,4/23/1992,1330,COAL BURST FROM FACE AND HIT EMPL IN LEFT JAW.RECEIVED A CUT WHICH REQUIRED 4 STITCHES AND A CRACKED LEFT JAWBONE.,CO,CYPRUS EMPIRE CORPORATION
4200093,SUNNYSIDE MINE NO. 1,5/5/1992,9999,A BOUNCE WITH HEAVE OCCURRED IN THE TAILGATE ENTRY ABOUT 20 OUTBY 20 X-CUT WHICH BLOCKED THE PASSAGE OF MEN.,UT,SUNNYSIDE COAL COMPANY
4201944,COTTONWOOD,5/14/1992,1730,"WORKMAN WAS HANGING BRATTICE ALONG SID EOF ROOF BOLTER. RIB BOUNCED OUT, PINNED EMPLOYEE AGAINST ROOF BOLTER.",UT,ENERGY WEST MINING COMPANY
